2025-10-24 14:54:21 | INFO     | SYSTEM          | ============================================================
2025-10-24 14:54:21 | INFO     | SYSTEM          | DeskAI Logging System Initialized
2025-10-24 14:54:21 | INFO     | SYSTEM          | Session started at: 2025-10-24 14:54:21
2025-10-24 14:54:21 | INFO     | SYSTEM          | ============================================================
2025-10-24 14:54:21 | INFO     | SYSTEM          | System Event: DeskAI Starting Up
2025-10-24 14:54:21 | INFO     | INIT            | TTS Engine initialized
2025-10-24 14:54:22 | INFO     | INIT            | STT Engine initialized
2025-10-24 14:54:22 | INFO     | INIT            | NLP Engine initialized
2025-10-24 14:54:22 | INFO     | INIT            | Command Mapper initialized
2025-10-24 14:54:22 | INFO     | INIT            | Execution Engine initialized
2025-10-24 14:54:23 | INFO     | INIT            | Wake Word Listener initialized: 'desk'
2025-10-24 14:54:23 | INFO     | SYSTEM          | System Event: All modules initialized successfully
2025-10-24 14:54:23 | INFO     | SYSTEM          | System Event: DeskAI started - Listening for wake word
2025-10-24 14:54:24 | INFO     | SYSTEM          | ============================================================
2025-10-24 14:54:24 | INFO     | SYSTEM          | DeskAI Logging System Initialized
2025-10-24 14:54:24 | INFO     | SYSTEM          | Session started at: 2025-10-24 14:54:24
2025-10-24 14:54:24 | INFO     | SYSTEM          | ============================================================
2025-10-24 14:54:24 | INFO     | SYSTEM          | System Event: DeskAI Starting Up
2025-10-24 14:54:24 | INFO     | INIT            | TTS Engine initialized
2025-10-24 14:54:24 | INFO     | INIT            | STT Engine initialized
2025-10-24 14:54:25 | INFO     | INIT            | NLP Engine initialized
2025-10-24 14:54:25 | INFO     | INIT            | Command Mapper initialized
2025-10-24 14:54:25 | INFO     | INIT            | Execution Engine initialized
2025-10-24 14:54:25 | INFO     | INIT            | Wake Word Listener initialized: 'desk'
2025-10-24 14:54:25 | INFO     | SYSTEM          | System Event: All modules initialized successfully
2025-10-24 14:54:25 | INFO     | SYSTEM          | System Event: DeskAI started - Listening for wake word
2025-10-24 14:54:45 | INFO     | WAKE            | Wake word detected - Activating
2025-10-24 14:54:45 | INFO     | WAKE            | Wake word detected - Activating
2025-10-24 14:56:06 | INFO     | SYSTEM          | ============================================================
2025-10-24 14:56:06 | INFO     | SYSTEM          | DeskAI Logging System Initialized
2025-10-24 14:56:06 | INFO     | SYSTEM          | Session started at: 2025-10-24 14:56:06
2025-10-24 14:56:06 | INFO     | SYSTEM          | ============================================================
2025-10-24 14:56:06 | INFO     | SYSTEM          | System Event: DeskAI Starting Up
2025-10-24 14:56:06 | INFO     | INIT            | TTS Engine initialized
2025-10-24 14:56:07 | INFO     | INIT            | STT Engine initialized
2025-10-24 14:56:07 | INFO     | INIT            | NLP Engine initialized
2025-10-24 14:56:07 | INFO     | INIT            | Command Mapper initialized
2025-10-24 14:56:07 | INFO     | INIT            | Execution Engine initialized
2025-10-24 14:56:08 | INFO     | INIT            | Wake Word Listener initialized: 'desk'
2025-10-24 14:56:08 | INFO     | SYSTEM          | System Event: All modules initialized successfully
2025-10-24 14:56:08 | INFO     | SYSTEM          | System Event: DeskAI started - Listening for wake word
2025-10-24 14:56:11 | INFO     | WAKE            | Wake word detected - Activating
2025-10-24 14:56:19 | INFO     | STT             | STT Result: 'open again collector' (duration: 6.6s)
2025-10-24 14:56:19 | INFO     | USER            | User Command: 'open again collector'
2025-10-24 14:56:19 | DEBUG    | NLP             | Parsed Intent: {'intent': 'open_app', 'confidence': 0.8, 'target': 'again collector'}
2025-10-24 14:56:19 | INFO     | EXECUTION       | Execution SUCCESS: [app] Attempting to open again collector
2025-10-24 14:56:19 | INFO     | TTS             | TTS Output: 'Attempting to open again collector'
2025-10-24 14:56:27 | INFO     | WAKE            | Wake word detected - Activating
2025-10-24 14:56:34 | INFO     | STT             | STT Result: 'open calculator' (duration: 6.0s)
2025-10-24 14:56:34 | INFO     | USER            | User Command: 'open calculator'
2025-10-24 14:56:34 | DEBUG    | NLP             | Parsed Intent: {'intent': 'open_app', 'confidence': 0.8, 'target': 'calculator'}
2025-10-24 14:56:34 | INFO     | EXECUTION       | Execution SUCCESS: [app] Opening calculator
2025-10-24 14:56:34 | INFO     | TTS             | TTS Output: 'Opening calculator'
2025-10-24 14:56:39 | INFO     | WAKE            | Wake word detected - Activating
2025-10-24 14:56:45 | INFO     | STT             | STT Result: 'wait' (duration: 5.1s)
2025-10-24 14:56:45 | INFO     | USER            | User Command: 'wait'
2025-10-24 14:56:45 | DEBUG    | NLP             | Parsed Intent: {'intent': 'unknown', 'original_text': 'wait', 'confidence': 0.0}
2025-10-24 14:56:45 | WARNING  | NLP             | Unknown intent: wait
2025-10-24 14:56:47 | INFO     | SYSTEM          | System Event: Keyboard interrupt - User terminated
2025-10-24 14:56:47 | INFO     | SYSTEM          | System Event: DeskAI shutting down
2025-10-24 14:56:47 | INFO     | SYSTEM          | System Event: DeskAI shutdown complete
2025-10-24 14:56:47 | INFO     | SYSTEM          | ============================================================
2025-10-24 14:56:47 | INFO     | SYSTEM          | Session ended at: 2025-10-24 14:56:47
2025-10-24 14:56:47 | INFO     | SYSTEM          | ============================================================
2025-10-24 15:01:20 | INFO     | SYSTEM          | ============================================================
2025-10-24 15:01:20 | INFO     | SYSTEM          | DeskAI Logging System Initialized
2025-10-24 15:01:20 | INFO     | SYSTEM          | Session started at: 2025-10-24 15:01:20
2025-10-24 15:01:20 | INFO     | SYSTEM          | ============================================================
2025-10-24 15:01:20 | INFO     | SYSTEM          | System Event: DeskAI Starting Up
2025-10-24 15:01:20 | INFO     | INIT            | TTS Engine initialized
2025-10-24 15:01:21 | INFO     | INIT            | STT Engine initialized
2025-10-24 15:01:21 | INFO     | INIT            | NLP Engine initialized
2025-10-24 15:01:22 | INFO     | INIT            | Command Mapper initialized
2025-10-24 15:01:22 | INFO     | INIT            | Execution Engine initialized
2025-10-24 15:01:23 | INFO     | INIT            | Wake Word Listener initialized: 'desk'
2025-10-24 15:01:23 | INFO     | SYSTEM          | System Event: All modules initialized successfully
2025-10-24 15:01:23 | INFO     | SYSTEM          | System Event: DeskAI started - Listening for wake word
2025-10-24 15:01:27 | INFO     | WAKE            | Wake word detected - Activating
2025-10-24 15:01:36 | INFO     | STT             | STT Result: 'open spotify' (duration: 8.6s)
2025-10-24 15:01:36 | INFO     | USER            | User Command: 'open spotify'
2025-10-24 15:01:36 | DEBUG    | NLP             | Parsed Intent: {'intent': 'open_app', 'confidence': 0.8, 'target': 'spotify'}
2025-10-24 15:01:36 | INFO     | EXECUTION       | Execution SUCCESS: [app] Opening spotify
2025-10-24 15:01:36 | INFO     | TTS             | TTS Output: 'Opening spotify'
2025-10-24 15:02:15 | INFO     | WAKE            | Wake word detected - Activating
2025-10-24 15:02:23 | INFO     | STT             | STT Result: 'add one plus one in calculator' (duration: 8.1s)
2025-10-24 15:02:23 | INFO     | USER            | User Command: 'add one plus one in calculator'
2025-10-24 15:02:23 | DEBUG    | NLP             | Parsed Intent: {'intent': 'unknown', 'original_text': 'add one plus one in calculator', 'confidence': 0.0}
2025-10-24 15:02:23 | WARNING  | NLP             | Unknown intent: add one plus one in calculator
2025-10-24 15:02:30 | INFO     | SYSTEM          | System Event: Keyboard interrupt - User terminated
2025-10-24 15:02:30 | INFO     | SYSTEM          | System Event: DeskAI shutting down
2025-10-24 15:02:30 | INFO     | SYSTEM          | System Event: DeskAI shutdown complete
2025-10-24 15:02:30 | INFO     | SYSTEM          | ============================================================
2025-10-24 15:02:30 | INFO     | SYSTEM          | Session ended at: 2025-10-24 15:02:30
2025-10-24 15:02:30 | INFO     | SYSTEM          | ============================================================
2025-10-24 15:04:37 | INFO     | SYSTEM          | ============================================================
2025-10-24 15:04:37 | INFO     | SYSTEM          | DeskAI Logging System Initialized
2025-10-24 15:04:37 | INFO     | SYSTEM          | Session started at: 2025-10-24 15:04:37
2025-10-24 15:04:37 | INFO     | SYSTEM          | ============================================================
2025-10-24 15:04:37 | INFO     | SYSTEM          | System Event: DeskAI Starting Up
2025-10-24 15:04:38 | INFO     | INIT            | TTS Engine initialized
2025-10-24 15:04:38 | INFO     | INIT            | STT Engine initialized
2025-10-24 15:04:39 | INFO     | INIT            | NLP Engine initialized
2025-10-24 15:04:39 | INFO     | INIT            | Command Mapper initialized
2025-10-24 15:04:39 | INFO     | INIT            | Execution Engine initialized
2025-10-24 15:04:39 | INFO     | INIT            | Wake Word Listener initialized: 'desk'
2025-10-24 15:04:39 | INFO     | SYSTEM          | System Event: All modules initialized successfully
2025-10-24 15:04:39 | INFO     | SYSTEM          | System Event: DeskAI started - Listening for wake word
2025-10-24 15:04:43 | INFO     | WAKE            | Wake word detected - Activating
2025-10-24 15:04:51 | INFO     | STT             | STT Result: 'open for leader named portfolio' (duration: 7.6s)
2025-10-24 15:04:51 | INFO     | USER            | User Command: 'open for leader named portfolio'
2025-10-24 15:04:51 | DEBUG    | NLP             | Parsed Intent: {'intent': 'open_app', 'confidence': 0.8, 'target': 'for leader named portfolio'}
2025-10-24 15:04:52 | ERROR    | EXECUTION       | Execution FAILED: [error] Sorry, I could not find for leader named portfolio on your system
2025-10-24 15:04:52 | INFO     | TTS             | TTS Output: 'Sorry, Sorry, I could not find for leader named portfolio on your system'
2025-10-24 15:04:57 | INFO     | WAKE            | Wake word detected - Activating
2025-10-24 15:05:06 | INFO     | STT             | STT Result: 'open folder named portfolio' (duration: 8.6s)
2025-10-24 15:05:06 | INFO     | USER            | User Command: 'open folder named portfolio'
2025-10-24 15:05:06 | DEBUG    | NLP             | Parsed Intent: {'intent': 'open_app', 'confidence': 0.8, 'target': 'folder named portfolio'}
2025-10-24 15:05:06 | ERROR    | EXECUTION       | Execution FAILED: [error] Sorry, I could not find folder named portfolio on your system
2025-10-24 15:05:06 | INFO     | TTS             | TTS Output: 'Sorry, Sorry, I could not find folder named portfolio on your system'
2025-10-24 15:05:12 | INFO     | SYSTEM          | System Event: Keyboard interrupt - User terminated
2025-10-24 15:05:12 | INFO     | SYSTEM          | System Event: DeskAI shutting down
2025-10-24 15:05:12 | INFO     | SYSTEM          | System Event: DeskAI shutdown complete
2025-10-24 15:05:12 | INFO     | SYSTEM          | ============================================================
2025-10-24 15:05:12 | INFO     | SYSTEM          | Session ended at: 2025-10-24 15:05:12
2025-10-24 15:05:12 | INFO     | SYSTEM          | ============================================================
2025-10-24 15:05:54 | INFO     | SYSTEM          | ============================================================
2025-10-24 15:05:54 | INFO     | SYSTEM          | DeskAI Logging System Initialized
2025-10-24 15:05:54 | INFO     | SYSTEM          | Session started at: 2025-10-24 15:05:54
2025-10-24 15:05:54 | INFO     | SYSTEM          | ============================================================
2025-10-24 15:05:54 | INFO     | SYSTEM          | System Event: DeskAI Starting Up
2025-10-24 15:05:54 | INFO     | INIT            | TTS Engine initialized
2025-10-24 15:05:55 | INFO     | INIT            | STT Engine initialized
2025-10-24 15:05:56 | INFO     | INIT            | NLP Engine initialized
2025-10-24 15:05:56 | INFO     | INIT            | Command Mapper initialized
2025-10-24 15:05:56 | INFO     | INIT            | Execution Engine initialized
2025-10-24 15:05:57 | INFO     | INIT            | Wake Word Listener initialized: 'desk'
2025-10-24 15:05:57 | INFO     | SYSTEM          | System Event: All modules initialized successfully
2025-10-24 15:05:57 | INFO     | SYSTEM          | System Event: DeskAI started - Listening for wake word
2025-10-24 15:06:06 | INFO     | WAKE            | Wake word detected - Activating
2025-10-24 15:06:14 | INFO     | STT             | STT Result: 'open not bad' (duration: 7.5s)
2025-10-24 15:06:15 | INFO     | USER            | User Command: 'open not bad'
2025-10-24 15:06:15 | DEBUG    | NLP             | Parsed Intent: {'intent': 'open_app', 'confidence': 0.8, 'target': 'not bad'}
2025-10-24 15:06:16 | ERROR    | EXECUTION       | Execution FAILED: [error] Sorry, I could not find not bad on your system
2025-10-24 15:06:16 | INFO     | TTS             | TTS Output: 'Sorry, Sorry, I could not find not bad on your system'
2025-10-24 15:06:28 | INFO     | WAKE            | Wake word detected - Activating
2025-10-24 15:06:37 | INFO     | STT             | STT Result: 'open not bad' (duration: 8.6s)
2025-10-24 15:06:37 | INFO     | USER            | User Command: 'open not bad'
2025-10-24 15:06:37 | DEBUG    | NLP             | Parsed Intent: {'intent': 'open_app', 'confidence': 0.8, 'target': 'not bad'}
2025-10-24 15:06:37 | ERROR    | EXECUTION       | Execution FAILED: [error] Sorry, I could not find not bad on your system
2025-10-24 15:06:37 | INFO     | TTS             | TTS Output: 'Sorry, Sorry, I could not find not bad on your system'
2025-10-24 15:06:43 | INFO     | WAKE            | Wake word detected - Activating
2025-10-24 15:06:52 | INFO     | STT             | STT Result: 'open and or dpj this' (duration: 8.6s)
2025-10-24 15:06:52 | INFO     | USER            | User Command: 'open and or dpj this'
2025-10-24 15:06:52 | DEBUG    | NLP             | Parsed Intent: {'intent': 'open_app', 'confidence': 0.8, 'target': 'and or dpj this'}
2025-10-24 15:06:52 | ERROR    | EXECUTION       | Execution FAILED: [error] Sorry, I could not find and or dpj this on your system
2025-10-24 15:06:52 | INFO     | TTS             | TTS Output: 'Sorry, Sorry, I could not find and or dpj this on your system'
2025-10-24 15:07:01 | INFO     | WAKE            | Wake word detected - Activating
2025-10-24 15:07:10 | INFO     | STT             | STT Result: 'open lot of bird' (duration: 8.1s)
2025-10-24 15:07:10 | INFO     | USER            | User Command: 'open lot of bird'
2025-10-24 15:07:10 | DEBUG    | NLP             | Parsed Intent: {'intent': 'open_app', 'confidence': 0.8, 'target': 'lot of bird'}
2025-10-24 15:07:10 | ERROR    | EXECUTION       | Execution FAILED: [error] Sorry, I could not find lot of bird on your system
2025-10-24 15:07:10 | INFO     | TTS             | TTS Output: 'Sorry, Sorry, I could not find lot of bird on your system'
2025-10-24 15:07:13 | INFO     | SYSTEM          | System Event: Keyboard interrupt - User terminated
2025-10-24 15:07:13 | INFO     | SYSTEM          | System Event: DeskAI shutting down
2025-10-24 15:07:13 | INFO     | SYSTEM          | System Event: DeskAI shutdown complete
2025-10-24 15:07:13 | INFO     | SYSTEM          | ============================================================
2025-10-24 15:07:13 | INFO     | SYSTEM          | Session ended at: 2025-10-24 15:07:13
2025-10-24 15:07:13 | INFO     | SYSTEM          | ============================================================
2025-10-24 15:12:45 | INFO     | SYSTEM          | ============================================================
2025-10-24 15:12:45 | INFO     | SYSTEM          | DeskAI Logging System Initialized
2025-10-24 15:12:45 | INFO     | SYSTEM          | Session started at: 2025-10-24 15:12:45
2025-10-24 15:12:45 | INFO     | SYSTEM          | ============================================================
2025-10-24 15:12:45 | INFO     | SYSTEM          | System Event: DeskAI Starting Up
2025-10-24 15:12:45 | INFO     | INIT            | TTS Engine initialized
2025-10-24 15:12:46 | INFO     | INIT            | STT Engine initialized
2025-10-24 15:12:46 | INFO     | INIT            | NLP Engine initialized
2025-10-24 15:12:47 | INFO     | INIT            | Command Mapper initialized
2025-10-24 15:12:47 | INFO     | INIT            | Execution Engine initialized
2025-10-24 15:12:47 | INFO     | INIT            | Wake Word Listener initialized: 'desk'
2025-10-24 15:12:47 | INFO     | SYSTEM          | System Event: All modules initialized successfully
2025-10-24 15:12:47 | INFO     | SYSTEM          | System Event: DeskAI started - Listening for wake word
2025-10-24 15:13:07 | INFO     | WAKE            | Wake word detected - Activating
2025-10-24 15:13:15 | INFO     | STT             | STT Result: 'open folder named portfolio' (duration: 7.6s)
2025-10-24 15:13:15 | INFO     | USER            | User Command: 'open folder named portfolio'
2025-10-24 15:13:15 | DEBUG    | NLP             | Parsed Intent: {'intent': 'open_app', 'confidence': 0.8, 'target': 'folder named portfolio'}
2025-10-24 15:13:29 | ERROR    | EXECUTION       | Execution FAILED: [error] Sorry, I could not find folder named portfolio on your system
2025-10-24 15:13:29 | INFO     | TTS             | TTS Output: 'Sorry, Sorry, I could not find folder named portfolio on your system'
2025-10-24 15:13:55 | INFO     | WAKE            | Wake word detected - Activating
2025-10-24 15:14:03 | INFO     | STT             | STT Result: 'work for you' (duration: 7.0s)
2025-10-24 15:14:03 | INFO     | USER            | User Command: 'work for you'
2025-10-24 15:14:03 | DEBUG    | NLP             | Parsed Intent: {'intent': 'unknown', 'original_text': 'work for you', 'confidence': 0.0}
2025-10-24 15:14:03 | WARNING  | NLP             | Unknown intent: work for you
2025-10-24 15:14:06 | INFO     | WAKE            | Wake word detected - Activating
2025-10-24 15:14:13 | INFO     | STT             | STT Result: 'open portfolio' (duration: 6.6s)
2025-10-24 15:14:13 | INFO     | USER            | User Command: 'open portfolio'
2025-10-24 15:14:13 | DEBUG    | NLP             | Parsed Intent: {'intent': 'open_app', 'confidence': 0.8, 'target': 'portfolio'}
2025-10-24 15:14:20 | INFO     | EXECUTION       | Execution SUCCESS: [folder] Opening portfolio folder
2025-10-24 15:14:20 | INFO     | TTS             | TTS Output: 'Opening portfolio folder'
2025-10-24 15:14:29 | INFO     | SYSTEM          | System Event: Keyboard interrupt - User terminated
2025-10-24 15:14:29 | INFO     | SYSTEM          | System Event: DeskAI shutting down
2025-10-24 15:14:30 | INFO     | SYSTEM          | System Event: DeskAI shutdown complete
2025-10-24 15:14:30 | INFO     | SYSTEM          | ============================================================
2025-10-24 15:14:30 | INFO     | SYSTEM          | Session ended at: 2025-10-24 15:14:30
2025-10-24 15:14:30 | INFO     | SYSTEM          | ============================================================
2025-10-24 15:15:50 | INFO     | SYSTEM          | ============================================================
2025-10-24 15:15:50 | INFO     | SYSTEM          | DeskAI Logging System Initialized
2025-10-24 15:15:50 | INFO     | SYSTEM          | Session started at: 2025-10-24 15:15:50
2025-10-24 15:15:50 | INFO     | SYSTEM          | ============================================================
2025-10-24 15:15:50 | INFO     | SYSTEM          | System Event: DeskAI Starting Up
2025-10-24 15:15:50 | INFO     | INIT            | TTS Engine initialized
2025-10-24 15:15:51 | INFO     | INIT            | STT Engine initialized
2025-10-24 15:15:51 | INFO     | INIT            | NLP Engine initialized
2025-10-24 15:15:52 | INFO     | INIT            | Command Mapper initialized
2025-10-24 15:15:52 | INFO     | INIT            | Execution Engine initialized
2025-10-24 15:15:52 | INFO     | INIT            | Wake Word Listener initialized: 'desk'
2025-10-24 15:15:52 | INFO     | SYSTEM          | System Event: All modules initialized successfully
2025-10-24 15:15:52 | INFO     | SYSTEM          | System Event: DeskAI started - Listening for wake word
2025-10-24 15:15:56 | INFO     | WAKE            | Wake word detected - Activating
2025-10-24 15:16:04 | INFO     | STT             | STT Result: 'open not bad' (duration: 8.1s)
2025-10-24 15:16:04 | INFO     | USER            | User Command: 'open not bad'
2025-10-24 15:16:04 | DEBUG    | NLP             | Parsed Intent: {'intent': 'open_app', 'confidence': 0.8, 'target': 'not bad'}
2025-10-24 15:16:12 | ERROR    | EXECUTION       | Execution FAILED: [error] Sorry, I could not find not bad on your system
2025-10-24 15:16:12 | INFO     | TTS             | TTS Output: 'Sorry, Sorry, I could not find not bad on your system'
2025-10-24 15:16:29 | INFO     | WAKE            | Wake word detected - Activating
2025-10-24 15:16:37 | INFO     | STT             | STT Result: 'no to bag' (duration: 7.1s)
2025-10-24 15:16:37 | INFO     | USER            | User Command: 'no to bag'
2025-10-24 15:16:37 | DEBUG    | NLP             | Parsed Intent: {'intent': 'unknown', 'original_text': 'no to bag', 'confidence': 0.0}
2025-10-24 15:16:37 | WARNING  | NLP             | Unknown intent: no to bag
2025-10-24 15:16:43 | INFO     | WAKE            | Wake word detected - Activating
2025-10-24 15:16:50 | INFO     | STT             | STT Result: 'cool been notified as' (duration: 6.6s)
2025-10-24 15:16:50 | INFO     | USER            | User Command: 'cool been notified as'
2025-10-24 15:16:50 | DEBUG    | NLP             | Parsed Intent: {'intent': 'unknown', 'original_text': 'cool been notified as', 'confidence': 0.0}
2025-10-24 15:16:50 | WARNING  | NLP             | Unknown intent: cool been notified as
2025-10-24 15:17:04 | INFO     | WAKE            | Wake word detected - Activating
2025-10-24 15:17:12 | INFO     | STT             | STT Result: 'open or time' (duration: 7.1s)
2025-10-24 15:17:12 | INFO     | USER            | User Command: 'open or time'
2025-10-24 15:17:12 | DEBUG    | NLP             | Parsed Intent: {'intent': 'open_app', 'confidence': 0.8, 'target': 'or time'}
2025-10-24 15:17:19 | ERROR    | EXECUTION       | Execution FAILED: [error] Sorry, I could not find or time on your system
2025-10-24 15:17:19 | INFO     | TTS             | TTS Output: 'Sorry, Sorry, I could not find or time on your system'
2025-10-24 15:17:27 | INFO     | WAKE            | Wake word detected - Activating
2025-10-24 15:17:33 | INFO     | STT             | STT Result: 'what ifs time' (duration: 5.5s)
2025-10-24 15:17:33 | INFO     | USER            | User Command: 'what ifs time'
2025-10-24 15:17:33 | DEBUG    | NLP             | Parsed Intent: {'intent': 'unknown', 'original_text': 'what ifs time', 'confidence': 0.0}
2025-10-24 15:17:33 | WARNING  | NLP             | Unknown intent: what ifs time
2025-10-24 15:17:41 | INFO     | WAKE            | Wake word detected - Activating
2025-10-24 15:17:49 | INFO     | STT             | STT Result: 'what is doing' (duration: 7.0s)
2025-10-24 15:17:49 | INFO     | USER            | User Command: 'what is doing'
2025-10-24 15:17:49 | DEBUG    | NLP             | Parsed Intent: {'intent': 'search', 'confidence': 0.8, 'query': 'doing'}
2025-10-24 15:17:49 | INFO     | EXECUTION       | Execution SUCCESS: [web] Searching for doing
2025-10-24 15:17:49 | INFO     | TTS             | TTS Output: 'Searching for doing'
2025-10-24 15:17:57 | INFO     | SYSTEM          | System Event: Keyboard interrupt - User terminated
2025-10-24 15:17:57 | INFO     | SYSTEM          | System Event: DeskAI shutting down
2025-10-24 15:17:57 | INFO     | SYSTEM          | System Event: DeskAI shutdown complete
2025-10-24 15:17:57 | INFO     | SYSTEM          | ============================================================
2025-10-24 15:17:57 | INFO     | SYSTEM          | Session ended at: 2025-10-24 15:17:57
2025-10-24 15:17:57 | INFO     | SYSTEM          | ============================================================
2025-10-24 15:18:40 | INFO     | SYSTEM          | ============================================================
2025-10-24 15:18:40 | INFO     | SYSTEM          | DeskAI Logging System Initialized
2025-10-24 15:18:40 | INFO     | SYSTEM          | Session started at: 2025-10-24 15:18:40
2025-10-24 15:18:40 | INFO     | SYSTEM          | ============================================================
2025-10-24 15:18:40 | INFO     | SYSTEM          | System Event: DeskAI Starting Up
2025-10-24 15:18:41 | INFO     | INIT            | TTS Engine initialized
2025-10-24 15:18:41 | INFO     | INIT            | STT Engine initialized
2025-10-24 15:18:42 | INFO     | INIT            | NLP Engine initialized
2025-10-24 15:18:42 | INFO     | INIT            | Command Mapper initialized
2025-10-24 15:18:42 | INFO     | INIT            | Execution Engine initialized
2025-10-24 15:18:42 | INFO     | INIT            | Wake Word Listener initialized: 'desk'
2025-10-24 15:18:42 | INFO     | SYSTEM          | System Event: All modules initialized successfully
2025-10-24 15:18:42 | INFO     | SYSTEM          | System Event: DeskAI started - Listening for wake word
2025-10-24 15:18:46 | INFO     | WAKE            | Wake word detected - Activating
2025-10-24 15:18:52 | INFO     | STT             | STT Result: 'not bad' (duration: 6.0s)
2025-10-24 15:18:52 | INFO     | USER            | User Command: 'not bad'
2025-10-24 15:18:52 | DEBUG    | NLP             | Parsed Intent: {'intent': 'unknown', 'original_text': 'not bad', 'confidence': 0.0}
2025-10-24 15:18:52 | WARNING  | NLP             | Unknown intent: not bad
2025-10-26 15:34:51 | INFO     | SYSTEM          | ============================================================
2025-10-26 15:34:51 | INFO     | SYSTEM          | DeskAI Logging System Initialized
2025-10-26 15:34:51 | INFO     | SYSTEM          | Session started at: 2025-10-26 15:34:51
2025-10-26 15:34:51 | INFO     | SYSTEM          | ============================================================
2025-10-26 15:34:51 | INFO     | SYSTEM          | System Event: DeskAI Starting Up
2025-10-26 15:34:51 | INFO     | INIT            | TTS Engine initialized
2025-10-26 15:34:52 | INFO     | INIT            | STT Engine initialized
2025-10-26 15:34:53 | INFO     | INIT            | NLP Engine initialized
2025-10-26 15:34:54 | INFO     | INIT            | Command Mapper initialized
2025-10-26 15:34:54 | INFO     | INIT            | Execution Engine initialized
